,TW_NO,TW_TIME,TW_TEXT,FAV,RT
29,1223848328674168832,2020-02-02 14:59:14,あっ(駅から遠いから却下),0,0
30,1223848104320913408,2020-02-02 14:58:20,ほへーー綱島に温泉あるのか,1,0
31,1223828547208265728,2020-02-02 13:40:37,いきなりマミさんのテーマ流れてきてつよつよのお気持ちになった,1,0
32,1223822100638494720,2020-02-02 13:15:00,実家のような安心感 https://t.co/j3fVyiXGku,2,0
33,1223767857827217410,2020-02-02 09:39:28,最近n-bunaとヨルシカ無限ループしかしてねえ,0,0
34,1223642408383942658,2020-02-02 01:20:58,AtCoderとkaggleで今年の春休みは圧倒的成長！w,3,0
35,1223642082515881986,2020-02-02 01:19:41,listが定義できなくて何でやーーーっておもって1時間ハマってたけどdelして再定義したらすぐできたうにゃにゃにゃにゃくそくそくそくそくそ,2,0
36,1223641852445741056,2020-02-02 01:18:46,AtCoderはじめたわよ！,1,0
37,1223592518509481985,2020-02-01 22:02:44,プロミス使って叙々苑はさすがに草,2,0
38,1223582171018907648,2020-02-01 21:21:37,キラインスタのストーリーの上げ方ほんとにわかってなくてわろてる,0,0
39,1223579128344875009,2020-02-01 21:09:31,さーーーて明日から馬車馬のように働かないとしぬわよ😇😇😇😇😇,0,0
40,1223576592107986944,2020-02-01 20:59:27,うまかった～～おにく溶けたわよ https://t.co/It2e44HYWT,6,0
41,1223576351451439105,2020-02-01 20:58:29,ありがとうございました～～ https://t.co/BDMXXz6Jbu,9,0
42,1223566891320410112,2020-02-01 20:20:54,いやあーーー人生の頂点,1,0
43,1223566396245700610,2020-02-01 20:18:56,RT @daigakukowai444: @aowakame33 やっぱたけぇーwwww叙々苑奢れるオタクなにもんだよあw,0,1
44,1223550629378813952,2020-02-01 19:16:17,ユッッッッッッk https://t.co/lZjiTwCFkF,2,0
45,1223545766049796096,2020-02-01 18:56:57,店員のお姉さんきゃわわわわわ(このあと㊙️される,3,0
46,1223541406993539072,2020-02-01 18:39:38,世界で一番うまいお冷飲んだ,0,0
47,1223540202515251200,2020-02-01 18:34:51,隣の客が(なんでガキが来てんの…って顔しててクソワロタ),1,0
48,1223539795076378624,2020-02-01 18:33:14,おもしれえーーー https://t.co/mPTIBxyy21,2,0
49,1223539128568111105,2020-02-01 18:30:35,"I'm at 叙々苑 in 港区, 東京都 https://t.co/U3CNAlugFu",0,0
50,1223530252640473088,2020-02-01 17:55:18,みんな集合すんの早いにょ～(ふにゃふにゃ)(電車内で寝落ちしそう),0,0
51,1223526500084916226,2020-02-01 17:40:24,"I'm at 元住吉駅 - @tokyu_official in 川崎市, 神奈川県 https://t.co/nDW4CWBFOQ",0,0
52,1223514513275666435,2020-02-01 16:52:46,ふにゃーねむーー,0,0
53,1223392496324972544,2020-02-01 08:47:55,RT @livedoornews: 【速報】イギリスがEU離脱 日本時間午前8時加盟国離脱はヨーロッパ統合史上初めて（NHKニュース）,0,2518
54,1223313496483364869,2020-02-01 03:34:00,334,4,0
55,1223292303030116353,2020-02-01 02:09:47,にゃーーーー,3,0
56,1223244124603572224,2020-01-31 22:58:20,うにゃーーーたのしかったわーーー,0,0
57,1223244065853988864,2020-01-31 22:58:06,きたおた,0,0
58,1223236061565870080,2020-01-31 22:26:18,RT @IMAGINA_ry: メンタルがヘラった時のためのフローチャート作りました。 https://t.co/vHpl4xhWdD,0,10401
59,1223228952421908480,2020-01-31 21:58:03,クソ好きなボカロ曲やっと追加されてて泣いてる歌手名ぐるたみんになってるけど https://t.co/RfgivFrq2o,0,0
60,1223211979965263872,2020-01-31 20:50:36,全アニメ主題歌にアニメ映像つけろおじさん,3,0
61,1223211552196546560,2020-01-31 20:48:54,神神神神神神 https://t.co/KxKeNAiyLN,6,0
62,1223206414551699459,2020-01-31 20:28:29,アルコールくせえーーーー,0,0
63,1223206051652096000,2020-01-31 20:27:03,あーーばちくそ混んでんな,0,0
64,1223200901629800448,2020-01-31 20:06:35,さーーてヒトカラでヨルシカ全アルバム歌いきるぜよ,1,0
65,1223197332058959872,2020-01-31 19:52:24,結局数学からは逃げられんのな,1,0
66,1223197205399367680,2020-01-31 19:51:54,RT @usdatascientist: 機械学習の勉強に向けて数学勉強しようとしてる人，ロードマップはこちら↓■理想線形代数　微積　　↓　　　↓常微分方程式→偏微分方程式↓　↓　　　　　　　↓↓　ラ　　プ　　ラ　　ス↓　　　　↓↑→フーリエ←複素数■現…,0,612
67,1223172325371080705,2020-01-31 18:13:02,2期ダルルルォ！？！？ https://t.co/FBsZRBGUBH,2,0
68,1223168882959011840,2020-01-31 17:59:21,精神回復 https://t.co/z0a0cBJF3h,4,0
69,1223168754776825857,2020-01-31 17:58:51,脳が死んでるから砂糖ぶち込む,2,0
70,1223162675363905539,2020-01-31 17:34:41,マルルクちゃんの日常が終わったあとの記憶が無い,0,0
71,1223160226792165377,2020-01-31 17:24:57,原作ほしい,1,0
72,1223160177106358272,2020-01-31 17:24:46,感情の行き場をなくしました声が漏れてたらしいです,2,0
73,1223127070357643264,2020-01-31 15:13:12,ゆるさない ゆるさない ゆるさない,1,0
74,1223126835220795392,2020-01-31 15:12:16,おいてめえアビスは日常アニメっつってんだろぶっとばすぞ,1,0
75,1223126725988478976,2020-01-31 15:11:50,背後でリコの鬱シーンの感想をでかでかとしゃべってるやついてガチで消え去れと思っている,1,0
76,1223126208767909899,2020-01-31 15:09:47,今回の作品はマルルクちゃんの日常を観察する短編映画と聞いております,1,0
77,1223125121650442242,2020-01-31 15:05:28,マルルクちゃんバチくそ可愛すぎて素直にしゃ,0,0
78,1223119191638560769,2020-01-31 14:41:54,日常アニメ映画楽しみぽよ〜,1,0
79,1223117697472286720,2020-01-31 14:35:58,ふーんえっtじゃん https://t.co/XCwPPrXgth,1,0
80,1223116262831616006,2020-01-31 14:30:16,"I'm at 副都心線新宿三丁目駅 3-4番線ホーム in 新宿区, 東京都 https://t.co/77fLoqqf3q",0,0
81,1223115942726471682,2020-01-31 14:28:59,キラーーーーーーぶっちしろーーーーーーーー,0,0
82,1223099497955201025,2020-01-31 13:23:39,極辛で鼻血暴発してる先輩おった,4,0
83,1223097826751549447,2020-01-31 13:17:00,追い飯むりぽ,2,0
84,1223097709269266432,2020-01-31 13:16:32,"I'm at 台湾まぜそば あかしや - @akashiyamaze in 世田谷区, 東京都 w/ @teria_tcu https://t.co/LuwhY6XKAU",2,0
85,1223089803786276864,2020-01-31 12:45:07,大学でカツカレー食ったのにうぃすてさんに恐喝されてまぜそば食わされてる,2,0
86,1223084961441280000,2020-01-31 12:25:53,RT @Traveleeman: 1枚目:南極で2枚目:流氷を拾って3枚目:グラスに入れて4枚目:コーラを注ぐ https://t.co/Iu0FeBuxhG,0,77
87,1223080268254175233,2020-01-31 12:07:14,まーじで眼鏡の度数合ってない,0,0
88,1223051525028626432,2020-01-31 10:13:01,うひーーー,1,0
89,1223051498034286592,2020-01-31 10:12:54,"I'm at 尾山台交差点 in 世田谷区, 東京都 https://t.co/vertuoCYHE",1,0
90,1223046412830593024,2020-01-31 09:52:42,おいおいおい遅延遅延遅延遅延遅延,3,0
91,1223044208128225281,2020-01-31 09:43:56,哲学やばいわよ！,2,0
92,1222899332082331652,2020-01-31 00:08:15,寝れねえーー,4,0
93,1222893932930973698,2020-01-30 23:46:48,ゑどんお疲れで寝てしもた,2,0
94,1222854797847453698,2020-01-30 21:11:18,gtくんスマブラで負けるとひじょうにおもろいムーブする,1,0
95,1222843562745683969,2020-01-30 20:26:39,3人で鍋作るとかやったことないから量わかんなすぎてむりぽ,2,0
96,1222840546223218690,2020-01-30 20:14:40,雑炊作ってたら思いっきりこがした,1,0
97,1222809714716635136,2020-01-30 18:12:09,渋谷の切符売り場で回数券ぶちまけたおじさん,4,0
98,1222765774151938051,2020-01-30 15:17:33,ゑたぶんめっちゃ酔ってるから今ならノリで俺にもAirPods買ってくれそう,3,0
99,1222736328288165888,2020-01-30 13:20:32,ゑどん安心しろ今日の夕飯は俺が保証する,3,0
100,1222736048330985472,2020-01-30 13:19:25,少子高齢化もなかなかいいもんじゃないですかね(超ポジティブ解釈)(親の介護は一切する気がない末っ子の発言),0,0
101,1222735794621730816,2020-01-30 13:18:25,元住吉の商店街、平日の昼間は年寄りしかいないからマジで平和,0,0
102,1222711649842290688,2020-01-30 11:42:28,今日夜デカい鍋つくろうかな,1,0
103,1222650341847531520,2020-01-30 07:38:51,起きたら飯テロ画像多すぎてワロタね,3,0
104,1222649949877260289,2020-01-30 07:37:18,耳かき音声は正直自分の想像力で傘増ししないと気持ちよくないから上級者向けだけど慣れるとめっちゃ気持ちいい,1,0
105,1222514500139548673,2020-01-29 22:39:04,RT @YahooNewsTopics: 【うなぎパイ転売が横行 嘆く声】https://t.co/h1765dKYE8「うなぎパイ」のネット転売が横行。定価962円の12枚入りに、1778円という2倍前後の値がつけられていた。春華堂・手嶋千恵主任は「ほんとに残念です。正…,0,16853
106,1222493845532708864,2020-01-29 21:17:00,僕が唯一知っているエロゲがトレンドにあがってた,0,0
107,1222417927137153024,2020-01-29 16:15:19,今日天気がいいって言うから久しぶりに外で洗濯物干したんだけど相変わらずの日当たりのせいでなんも乾きませんでしたね,3,0
108,1222417151140622336,2020-01-29 16:12:14,あと切実にブラックコーヒーが飲めるようになりたい,2,0
109,1222416999675908097,2020-01-29 16:11:38,将来の夢は毎日スタバ言っても金が減らないほど金持ちになることやね,5,0
110,1222390719307862017,2020-01-29 14:27:13,RT @miabyss_anime: 本日は水曜日。レディースデイです。劇場にはきっと、素敵なパパが待っていますよ。一緒に素晴らしい冒険をしましょう。  #miabyss https://t.co/rJWJnwvB8B,0,10702
111,1222318357426229248,2020-01-29 09:39:40,結婚して完結しなくていいから一生学園生活でイチャコラしやがれ,1,0
112,1222318074440761344,2020-01-29 09:38:33,永遠とイチャイチャが続くエンドレスエイトがある世界線isどこ,0,0
113,1222317885692841984,2020-01-29 09:37:48,すいません今週の花嫁の状態を無限に続けてくださいお願いしますお願いしますお願いしますお願いします,1,0
114,1222317751814914050,2020-01-29 09:37:16,RT @nijipoi_media: 『五等分の花嫁』四葉役声優・佐倉綾音さんの誕生日に合わせて主人公がプロポーズ→無事ニセコイ超えを果たし大荒れwww   https://t.co/hQboiuMvCj,0,88
115,1222150478072401921,2020-01-28 22:32:35,マギレコは今んとこ続きがそれなりに気になるから見てるけどうーーんって感じ,0,0
116,1222141021686915078,2020-01-28 21:55:00,あーなるほどベアトリスここで伏線になるセリフしゃべってんのかーーほーー,1,0
117,1222139883814211584,2020-01-28 21:50:29,リゼロ、新編集版というか実質2周目なんだけどめちゃめちゃいいよなやっぱ,1,0
118,1222104596073435136,2020-01-28 19:30:15,久しぶりまともな大人の会話をした,0,0
119,1222104100159938560,2020-01-28 19:28:17,落ちるとかいう概念を心配してた俺がバカでした,4,0
120,1222082369915502593,2020-01-28 18:01:56,バイト代入ったら旅行して服買ってコンタクトにして社不脱出するという壮大な夢を見ている,7,0
121,1222081752090300417,2020-01-28 17:59:29,概論期末とかいう写経作業が終了した,2,0
122,1222053362557800448,2020-01-28 16:06:40,RT @tetsutalow: 受験生の皆さんには心からお願いしたい。進路は大学名や大学のランクで選ぶのではなく「何が学びたいか」「将来どんなことをやりたいか」で決めて欲しい。この大学ならどの学部でもいいや的な受験で入られると、すぐにミスマッチが起きるから学生にも大学にも不幸な…,0,214
123,1222028972495523841,2020-01-28 14:29:45,プロ基礎の最後の問題、問題として認識してなかったせいで解いてすらなかった事件,3,0
124,1222028278170415104,2020-01-28 14:27:00,あーとーー概論だけーーーーふおーーーーーー,1,0
125,1221935856627240960,2020-01-28 08:19:45,なにこのめちゃくちゃエモいらきすた,0,0
126,1221935797353320448,2020-01-28 08:19:31,RT @alde_hyde: ２０２０年はらき☆すたのアニメ放送から１３年後ですね大人になっても４人には定期的に集まっていて欲しいし、学生時代の様にゆるーくダベっていて欲しいですね https://t.co/9GWd9rAqXX,0,11283
127,1221922456501309440,2020-01-28 07:26:30,RT @10NKbokZsYB053w: 人の心はどこですか？ https://t.co/Oj7dBlI9F1,0,2765
128,1221801220274147328,2020-01-27 23:24:45,天才わかくんが積分で詰んだって言ってるからやる気出てきたわよし寝よう,3,0
129,1221770842406678528,2020-01-27 21:24:02,撮るのわすれちった,0,0
130,1221770807145201666,2020-01-27 21:23:54,こころのまぜそばめちゃめちゃうまかった,1,0
131,1221761088338792449,2020-01-27 20:45:17,ここはいるときにキャバクラのお兄さんが立ち塞がっててどかすのクソめんどかった,0,0
132,1221759667749249024,2020-01-27 20:39:38,"I'm at 麺屋こころ in 目黒区, 東京都 https://t.co/iwB68MnyS9",0,0
133,1221750349444157445,2020-01-27 20:02:36,うーーーー数学アレルギーおじさんだーーー領域わかんねーー,1,0
134,1221729062697046017,2020-01-27 18:38:01,SSOの教科書誤植多杉内俊哉って言っ天皇,0,0
135,1221722453686095872,2020-01-27 18:11:46,数Ⅲの積分で詰んだ,2,0
136,1221709302223605760,2020-01-27 17:19:30,やっっっべ積分一切手つけてないやっっべ,1,0
137,1221697971999236096,2020-01-27 16:34:29,電気基礎って再履いつなんだろーなー(鼻ほじ),1,0
138,1221695530377441281,2020-01-27 16:24:47,RT @livedoornews: 【明日から】マクドナルド、「スマホ注文」を全国導入https://t.co/Sf3wenGScRスマホアプリから注文・支払いを済ませられるため、店に到着したら商品を受取るだけでOK。レジの行列に並ぶ必要がなくなります。 https://…,0,16708
139,1221678435463860224,2020-01-27 15:16:51,この1年で自己肯定感下がる→コミュ力落ちる→自己肯定感下がるの無限ループハマったから春休みで立て直したい,3,0
140,1221674877570052097,2020-01-27 15:02:43,当然ですが面接落ちたら叙々苑取り消しますのでよろしく,6,0
141,1221674701044383745,2020-01-27 15:02:01,テストよりバの面接の方が不安で震えている,8,0
142,1221665128573100032,2020-01-27 14:23:58,RT @I_LOVE_Syoko: オタクファッション図鑑No.3 （終） https://t.co/nUos0eCkqd,0,7602
143,1221591535587708928,2020-01-27 09:31:32,あーgtくんおきちゃったよ,1,0
144,1221572161040596992,2020-01-27 08:14:33,gt「9時に起こして」俺「おっけー(11時に起こす)」,3,0
145,1221571331457568768,2020-01-27 08:11:15,死にgt inSC地下 https://t.co/ya0Dv2OauF,5,0
146,1221566250192523266,2020-01-27 07:51:04,さmい,0,0
147,1221543112947855361,2020-01-27 06:19:07,キラいっつもこの時間に起きてんのかすげえな,1,0
148,1221542376780353536,2020-01-27 06:16:12,5億年振りに6時に起きたからそのまま学校ぶちとばするわ,1,0
149,1221541587122978816,2020-01-27 06:13:04,もう二度と期末で寝坊はしないと決めたのだ https://t.co/6XpvVdfdHP,5,0
150,1221541010171318273,2020-01-27 06:10:46,おーきーたー,2,0
151,1221449823288578048,2020-01-27 00:08:25,OSMの線形の問題クソすぎて涙が止まらない,2,0
152,1221422558437752832,2020-01-26 22:20:05,ランウェイ、アニメめちゃくちゃいいんだけど原作勢はまだ物足りないレベル？？？原作どんだけやべーーのよ,3,0
153,1221422030475517952,2020-01-26 22:17:59,国論どーしましょうかね,1,0
154,1221337280113020928,2020-01-26 16:41:13,アビス全13話見終わりました…めちゃめちゃわくわくするしくっっそ鬱になったしナナチマジでかわいかったし音楽超鳥肌立ったし最高でした,2,0
155,1221336679920701445,2020-01-26 16:38:50,RT @domyu: インターネット開拓世代、痛い目を見て体で学んだ奴が圧倒的多数派なので後進の育成に全く向いてない。,0,1787
156,1221327704340889600,2020-01-26 16:03:10,アビス最終回…なにこれ…,1,0
157,1221324601411743744,2020-01-26 15:50:50,主人公が長期間登場しないアニメは神アニメ,0,0
158,1221310106119200768,2020-01-26 14:53:14,いや魔法とか使うと思ったら人工呼吸かよ,1,0
159,1221308506214584320,2020-01-26 14:46:53,いやだ…映画いぎだぐない…,0,0
160,1221307510449033218,2020-01-26 14:42:55,なんでそうなんのねえねえねえねえねえねえ,0,0
161,1221307461325312001,2020-01-26 14:42:44,ねえまってまってまってまってまって,0,0
162,1221306584640282625,2020-01-26 14:39:15,まって鬱シーンはやめてくれええええええ,2,0
163,1221296107528970240,2020-01-26 13:57:37,この子くっっっっっっっそかわいい https://t.co/nYP0CgSVAN,1,0
164,1221275023219908608,2020-01-26 12:33:50,せっかちおじさんなのでちょっと高いけど4分で茹でられるパスタを買った,1,0
165,1221229984468987904,2020-01-26 09:34:52,RT @genbaneko_bot: 今日も一日 https://t.co/IarCSN80y9,0,2077
166,1221229506209304578,2020-01-26 09:32:58,RT @mangadaisuki15: 地球最後の日に告白する話 1/7 https://t.co/7X0xbgmqBY,0,17395
167,1221100594372304896,2020-01-26 01:00:43,高校数学の確率分布ってなんで学校でやらなかったんだろうなーーーくっっそーーーー,2,0
168,1221100048529813504,2020-01-26 00:58:33,期待値とか調べてたらパチンコ面白そうだと思ってきてしまったまずい,1,0
169,1221096907994329089,2020-01-26 00:46:04,期待値とかいう概念を初めて知ったの巻,0,0
170,1221091616514920449,2020-01-26 00:25:02,このClariSのEDくっっっそつよいからカラオケで熱唱したいおじさん,1,0
171,1221091284732895232,2020-01-26 00:23:43,あやねるそんなフラグ言って大丈夫なの死んだりしない？,0,0
172,1221090661639708672,2020-01-26 00:21:15,つまんねえこと聞くなよ！！！！,1,0
173,1221090550121545728,2020-01-26 00:20:48,なにこの正統派あやねる素晴らしい,0,0
174,1221088627687428096,2020-01-26 00:13:10,秋野かえで早く出てこい,0,0
175,1221088521403764736,2020-01-26 00:12:44,口寄せ神社に口寄せの術！！！！(深夜テンション),1,0
176,1221087332733874178,2020-01-26 00:08:01,にゃーーんせんけいの過去問とき終わったにゃーーん,1,0
177,1221076378709135362,2020-01-25 23:24:29,問題だけ解けるけどマジでなんも理解してねえからほんとに,1,0
178,1221076252318035968,2020-01-25 23:23:59,何度でも言うけど高校時代からやり直しt,0,0
179,1221076115709497345,2020-01-25 23:23:27,和田〇樹先生の名(迷)書、『受験は要領』とかいうクソ本にかかれてた『数学は暗記だ！』をそのまま信じ込んだ人間はこちらです,1,0
180,1221075636485152769,2020-01-25 23:21:32,あといい加減数学の単位をパターン暗記だけで乗り切ろうとするのマジでこの先良くない傾向だからなんとかしないとしぬ,1,0
181,1221075436630728707,2020-01-25 23:20:45,線形の過去問後半組の方はくっっっそ簡単でおそらく前半組の奴らからしたら鼻くそレベルgt君に前半の方の問題見せてもらったけど普通にわかんねえし略解しかもらってねえしかわいそうでしゅね,2,0
182,1221052081299054593,2020-01-25 21:47:56,親に「これからバイトするから今回だけは許して！！！！」って言った https://t.co/8H49yqUYis,0,0
183,1221050522443993090,2020-01-25 21:41:45,おったわ,0,0
184,1221050265437999105,2020-01-25 21:40:43,キラもう寝やがったなこれ,0,0
185,1221047586108235776,2020-01-25 21:30:05,"RT @BBykt_: 東出昌大さんの代役としてCMに出演したもこう先生(⌒,_ゝ⌒)【声真似】 https://t.co/Ov8Zfk91YV",0,454
186,1221040429002440708,2020-01-25 21:01:38,ちょろすぎわろたwwwwwwwwwwwwwwwwwwww,2,0
187,1221040056854409216,2020-01-25 21:00:10,親とマネーと虎ごっこして50kゲットしました,1,0
188,1221039879968129026,2020-01-25 20:59:27,あっ,0,0
189,1221039745070841857,2020-01-25 20:58:55,ねえええええなんでそんなポケモン全部歌うのおおおおおおおおおお,1,0
190,1221039380774572032,2020-01-25 20:57:28,ねえなんで小さきものとTogetherとバトルフロンティア歌ってんの強すぎる混ぜて,1,0
191,1221039076557504512,2020-01-25 20:56:16,ジラーチの映画の曲やん神 https://t.co/IREfXZU6qy,3,0
192,1221038949860171778,2020-01-25 20:55:46,こないだうたったな https://t.co/NwGDS99GFy,2,0
193,1221034035561893894,2020-01-25 20:36:14,大学1年生にして面接を3回経験しながらもまだ1度も働いたことがない社不がここにいるからみんな安心していいよ(？),4,0
194,1221033278062219264,2020-01-25 20:33:13,最寄りのマックのバイトの面接を応募するなどをしたさすがに落とされない…はず,6,0
195,1221027523963654146,2020-01-25 20:10:21,知能情報の研究室行ってみたいけど電電の研究室に機械学習扱ってるとこあるらしいから入るならそこでいっかとか思ったりしている,5,0
196,1221003732772474885,2020-01-25 18:35:49,やっぱ大学生でバイトしてないやつはクズですよはいすいませんバイトします,1,0
197,1221003412378021888,2020-01-25 18:34:33,春休みからバイトを始めまする,0,0
198,1220995473021865984,2020-01-25 18:03:00,だめだよ消しちゃ https://t.co/bmw0lJ1l0Q,2,0
199,1220994046824370178,2020-01-25 17:57:20,今はめっちゃ臭い串カツ屋しかないんですけどバグ？ https://t.co/wi8dBvHTPf,1,0
200,1220993409998938112,2020-01-25 17:54:48,ちょっとまって親から貢ぐクズムーブ思いついたからやってみていい？,3,0
201,1220993231434870785,2020-01-25 17:54:05,叙々苑普通に行きてえな,1,0
202,1220992998395133952,2020-01-25 17:53:10,じょ…じょ…,1,0
203,1220992913003274240,2020-01-25 17:52:50,でも春休みみんなでちょい高いとこいきたいよなあ,2,0
204,1220992427701354496,2020-01-25 17:50:54,gtくん収入は羨ましいほどあるのに…,1,0
205,1220991766167314432,2020-01-25 17:48:16,なにgtくん寿司奢ってくれるの？？？,0,0
206,1220984724614574081,2020-01-25 17:20:17,今日からちゃんと勉強します,0,0
207,1220980610300166144,2020-01-25 17:03:56,電電で1番難しい科目は電磁気でも物理学2でもなく電気基礎です(死),3,0
208,1220979409689051136,2020-01-25 16:59:10,1年間勉強しなかった後悔が死ぬほど降り積もりすぎてしにそう,1,0
209,1220971005746630657,2020-01-25 16:25:46,永遠と200点とかになりそう,0,0
210,1220928904661127168,2020-01-25 13:38:29,間に合ったなーーー,0,0
211,1220927193913556992,2020-01-25 13:31:41,ん？？？？間に合う？？？？,1,0
212,1220636922583736320,2020-01-24 18:18:15,うわーーーーーがんばろーーーーーーーーーー,1,0
213,1220636833891020801,2020-01-24 18:17:54,小学校でソフトボールやってたときの一番あこがれてた先輩が一浪して早稲田入って同じようにエンジニア目指してた…やばいやばいやばいやばいやばいやばい,1,0
214,1220560922021748739,2020-01-24 13:16:15,ラストなんで体育さぼりまーーす,2,0
215,1220493802596532230,2020-01-24 08:49:32,尾山台より多摩川バスに課金した方が近いのか,1,0
216,1220375596993089536,2020-01-24 00:59:50,BW2になったときのカミツレさんの衣装くっっっっそエッッッッッあとBW2のゲーム版の紹介映像で流れたCV沢城みゆきのカミツレさんマジでつよつよ,4,0
217,1220374657817202689,2020-01-24 00:56:06,ランウェイで笑ってのあの主人公の名前ってカミツレさんだよね(違う),0,0
218,1220360259530702848,2020-01-23 23:58:53,明日線形レポート提出やんけあっっっっっぶね,2,0
219,1219624372282880006,2020-01-21 23:14:44,まいっか,0,0
220,1219624269035892736,2020-01-21 23:14:19,ん、電気基礎の過去問の模範解答、大問5しか役に立たねーじゃん,1,0
221,1219623880777596929,2020-01-21 23:12:47,RT @youmu3grazie: 照れてる柏田さん描いた。 https://t.co/uVQuY536f1,0,430
222,1219591784629600256,2020-01-21 21:05:15,カゲプロは青春だから,1,0
223,1219591525463511040,2020-01-21 21:04:13,RT @jin_jin_suruyo: 俺はカゲプロ好きやで,0,20232
224,1219581970998366208,2020-01-21 20:26:15,アビスに鬱シーンがあるなんてぼく聞いてないよ！！！！！！！！！！！！！！！！！！,1,0
225,1219557251020492800,2020-01-21 18:48:01,概論以外もう何も怖くない,2,0
226,1219557170838032384,2020-01-21 18:47:42,線形の過去問と明日の電気基礎の模範解答全部ゲット出来てくそわろてる,4,0
227,1219523871637786624,2020-01-21 16:35:23,概論教科書参照できるんかーーーい,1,0
228,1219517404289454080,2020-01-21 16:09:41,もーーーさすがにiPhoneユーザーやめます,0,0
229,1219517165822283776,2020-01-21 16:08:44,おいiPhoneーーーーーーーーー https://t.co/s66821N9qt,0,0
230,1219516703085756416,2020-01-21 16:06:54,RT @DragonsOfficial: 3/24(火) #ナゴヤドーム #本拠地開幕 戦では「復活の狼煙」をテーマに #オープニングセレモニー を実施します！さらに当日の来場者全員に「 #昇竜松明 （たいまつ）」LEDライトをプレゼントします！https://t.co/O…,0,622
231,1219449942965571584,2020-01-21 11:41:37,性格分析はBIG5がいまのとこ1番信頼出来るやつってことをどっかで聞いた,2,0
232,1219429054354341888,2020-01-21 10:18:37,実際もう既に動いてる人多いのよねこれ,1,0
233,1219428990395355136,2020-01-21 10:18:21,RT @1919EK_: これ個人でプログラミング教室とか開いたらバカ儲かりそう,0,1
234,1219211172391440384,2020-01-20 19:52:50,gtくん電気基礎頑張っております https://t.co/r97tJhOcbq,2,0
235,1219162691631079426,2020-01-20 16:40:11,マジで眼鏡の度変えた方がいいな,0,0
